Avdeling,Hva er din rolle?,Bruker du KI-verktøy i jobben din?,Hvilke KI-verktøy bruker du?,Hvilke språkmodeller foretrekker du?,Bruker du KI-funksjonalitet integrert i eksisterende domenespesifikke fagsystemer? ,Hvem betaler for KI-verktøyet?,Til hvilke oppgaver bruker du KI?,Hvorfor bruker du KI?,Hva opplever du som den største gevinsten ved bruk av KI?,Hvor trygg føler du deg på bruk av KI i jobben?,Har du fått opplæring i KI gjennom jobben?,Hva slags opplæring ønsker du?,"Kjenner du til Digdirs retningslinje for bruk av generativ KI?

https://digdir.sharepoint.com/SiteAssets/SitePages/Sidemal---endelig-versjon(110)/UO-Retningslinje-for-generativ-KI-v1.0.pdf?web=1",Hva opplever du som de største barrierene for å bruke KI mer i jobben? ,Hvordan vil du beskrive din generelle holdning til bruk av KI og språkmodeller i arbeidshverdagen?,Hvilket utsagn beskriver deg best?,Digdir bør ha tydelige policyer og retningslinjer for bruk av generativ KI,Digdir bør prioritere sikre enterprise-løsninger for KI,Digdir bør tilby praktisk opplæring i konkrete KI-verktøy,Digdir bør styrke generell KI-forståelse for alle ansatte,Digdir bør tilby spesialisert veiledning for utviklere,Digdir bør legge til rette for deling av erfaringer og beste praksis internt
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Fagdirektør;,"Ja, daglig","ChatGPT Plus (betalversjon);Microsoft Copilot M365 ;Github Copilot;Azure AI-tjenester;Claude i nettleser;Claude Desktop;GROK, Gemini, WolframAlpha, Midjourny, Adobe Firefly, Mistral Le Chat PRO;","Claude  Sonnett 4.5, Claude Opus 4.5, OpenAI ChatGPT 5.2 Thinking, Grok 4.1, Gemini 3 PRO og Mistral Le Chat PRO",nei,Betaler selv;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Mengdetrening. Må forstå hva eg mener noe om. ;,Det tilgjengeliggjør ting som tidligere ikke var tilgjengelig. Det å kunne skrive feilfritt er utfordrende med dysleksi for eksempel. ,,Nei,innovasjon og digital strategi iht KI utvikling;,Ja,Manglende kompetanse;Manglende tid til å lære;Uklare retningslinjer;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Verken uenig eller enig,Delvis uenig,Delvis enig,Helt enig,Verken uenig eller enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Rådgiver;,Av og til,Microsoft Copilot M365 ;ChatGPT Plus (betalversjon);,ChatGPT Plus,Nei,Betaler selv;Anskaffet gjennom IT Drift;,Tekstproduksjon;Ideutvikling;Oversettelse;,Effektivisering;Ressursmangel;,"Ideutvikling og research. Det er god på søkesyntaks for Google søkemotoren og enklere ""grunt""-work",Ganske trygg,Ja,Juridiske rammer;,Ja,Manglende produktivitetsvekst. Blir sittende og dobbeltsjekke utmaten fra chatboten fremfor å komme til mål;,Svært skeptisk,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Delvis uenig,Helt uenig,Helt enig,Delvis uenig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Fagdirektør;,Av og til,ChatGPT (gratisversjon);Loveable;,,, Benytter gratisversjon;,Kodegenerering;Ideutvikling;Tekstproduksjon;Oversettelse;,Effektivisering;Kreativitet og innovasjon;Ressursmangel;,,Svært trygg,Nei,Praktisk bruk av KI-verktøy;,Ja,Manglende kompetanse;Manglende tid til å lære;Manglende tilgang til riktige verktøy;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Verken uenig eller enig,Delvis enig,Delvis enig,Helt enig,Helt enig
BOD;,Backend-utvikler;Rådgiver;,"Ja, daglig",Github Copilot;Claude Code;,"Claude 4.5, GPT-4.1","Kun integrasjoner i VS Code for GitHub Copilot og Claude Code, bruker ikke Rovo i Confluence etc.","Betaler selv, men får refundert fra Digdir;",Kodegenerering;Tekstproduksjon;Analyse og rapportering;Oversettelse;Ideutvikling;,Effektivisering;Kreativitet og innovasjon;,"Effektivisering i koding (test-skriving spesielt), og til å analysere idéer/valg om programvarearkitektur.",Svært trygg,"Har lært noen ""triks"" fra kollegaer, ellers tar jeg ansvar for egen læring på dette området.",Har ikke behov for mer opplæring nå;,Ja,Usikkerhet rundt hva som er lov og tillatt;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Verken uenig eller enig,Verken uenig eller enig,Delvis enig,Verken uenig eller enig,Helt enig
BOD;,Innleid konsulent;,Av og til,ChatGPT (gratisversjon);Microsoft Copilot M365 ;,,Nei, Benytter gratisversjon;Vet ikke hva standard copilot teller som;,Tekstproduksjon;Oversettelse;Sammendrag;,Effektivisering;Kreativitet og innovasjon;,Sparringspartner og slippe å oppsummere selv,,Ja,Juridiske rammer;Informasjonssikkerhet og risiko;,Ja,Manglende kompetanse;Usikkerhet rundt hva som er lov og tillatt;Lite relevans for mine arbeidsoppgaver;Ingen vesentlige barrierer;,Ganske positiv,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Delvis enig,Verken uenig eller enig,Delvis enig,Delvis enig
BOD;,Seniorrådgiver;Leder;,"Ja, ukentlig",ChatGPT (gratisversjon);Microsoft Copilot M365 ;,,Nei, Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Ideutvikling;,Effektivisering;,,Verken utrygg eller trygg,Nei,Etikk og personvern;Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende kompetanse;Manglende tid til å lære;Manglende tilgang til riktige verktøy;Personvern;,Ganske positiv,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Delvis enig,Delvis enig,Delvis enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Leder;,"Ja, daglig",ChatGPT Plus (betalversjon);ChatGPT Business;Microsoft Copilot M365 ;Apple Intelligence;,GPT 5.2,Ja,Betaler for noe selv;Anskaffet gjennom IT Drift; Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,"Kreativitet, innovasjon, kvalitet og tids/ressurssparing",Svært trygg,Ja,Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Teknisk forståelse;,Ja,Manglende tilgang til riktige verktøy;Uklare retningslinjer;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Leder;,Av og til,ChatGPT (gratisversjon);,,, Benytter gratisversjon;,Tekstproduksjon;,Krav fra ledelse/prosjekt;,"Lite foreløpig, men ikke brukt nok",Verken utrygg eller trygg,Nei,Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende tid til å lære;Ingen vesentlige barrierer;,Nøytral,Jeg er usikker på hvordan KI passer inn i min rolle.,Delvis enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;Leder;,"Ja, ukentlig","ChatGPT (gratisversjon);Microsoft Copilot M365 ;Altinn Assistant, Handbooks AI, CRM;","ChatGPT, Altinn Assistant",Rovo, Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kundeservice;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Kreativitet og systematisering,Ganske trygg,Nei,Praktisk bruk av KI-verktøy;Teknisk forståelse;,Ja,Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Helt enig,Helt enig,Delvis enig,Helt enig,Helt enig
BOD;,Fagdirektør;,"Ja, daglig",Microsoft Copilot M365 ;Claude Desktop;ChatGPT (gratisversjon);,Claude,Nei ikke p.t.,Betaler selv;,Tekstproduksjon;Ideutvikling;Oversettelse;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Effektivitet,Ganske trygg,Ja,Etikk og personvern;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Helt enig,Delvis enig,Helt enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,"Ja, daglig",ChatGPT (gratisversjon);Microsoft Copilot M365 ;Github Copilot;Rovo;Claude i nettleser;,Alle fungerer greit til mitt bruk,Ja, Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Ideutvikling;Prosessautomatisering;,Effektivisering;Økt kvalitet;Innspill der egen kreativitet trenger input;Kreativitet og innovasjon;,"Effektivisering. Støtte for egne meninger og valg. God hjelp når det skorter på egen kreativitet, så tar den meg et skritt videre",Verken utrygg eller trygg,"Litt opplæring, mye egen utforsking",Etikk og personvern;Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Bruk av KI i saksbehandling;,Ja,Manglende kompetanse;Manglende tid til å lære;Usikkerhet rundt hva som er lov og tillatt;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
